strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
180701050206,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600110201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600060303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101040103,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400120803,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500030401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101060103,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500020801,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102040705,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703050403,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201160503,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
181002020201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400110204,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703041004,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600100302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300060902,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101020401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500020701,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101100409,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
181001000301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201590103,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600051302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201610302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703020103,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703020301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201210606,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701020902,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201160502,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101040303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003110405,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400080603,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102110602,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400030203,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500040501,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902061303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201530101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201520401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201040801,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101090104,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300090402,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201160602,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180702020202,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703010304,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600010204,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600060104,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201160307,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101060407,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600020501,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201620305,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101080903,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400110205,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300121401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400011403,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600051501,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101080503,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101020604,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102111103,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500050203,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201530403,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600020401,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703020504,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300121701,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400030603,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600050306,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902061801,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600050201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201210801,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300120301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102020704,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400100608,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300010605,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003090501,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300090303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701020509,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201110302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003080112,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003090202,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400070302,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400510301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600020703,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400090602,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101050102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
